BaseDatos	TipoConsulta	VolumenDatos	T.Ejecucion
Pokemon	PS	V1=Bajo	012.703
Pokemon	PG	V1=Bajo	04.174
Pokemon	PO	V1=Bajo	03.758
Pokemon	PS	V1=Bajo	014.886
Pokemon	PG	V1=Bajo	05.298
Pokemon	PO	V1=Bajo	06.119
Pokemon	PS	V2=Alto	026.949
Pokemon	PG	V2=Alto	07.360
Pokemon	PO	V2=Alto	03.297
Pokemon	PS	V2=Alto	07.752
Pokemon	PG	V2=Alto	04.128
Pokemon	PO	V2=Alto	04.252
