BaseDatos	TipoConsulta	VolumenDatos	T.Ejecucion
Pokemon	GT1	V1=Bajo	04.167
Pokemon	GT2	V1=Bajo	04.399
Pokemon	GT3	V1=Bajo	04.158
Pokemon	GT2T3	V1=Bajo	05.464
Pokemon	GT1	V1=Bajo	04.436
Pokemon	GT2	V1=Bajo	04.588
Pokemon	GT3	V1=Bajo	04.889
Pokemon	GT2T3	V1=Bajo	04.822
Pokemon	GT1	V2=Alto	04.710
Pokemon	GT2	V2=Alto	06.146
Pokemon	GT3	V2=Alto	05.124
Pokemon	GT2T3	V2=Alto	04.917
Pokemon	GT1	V2=Alto	04.445
Pokemon	GT2	V2=Alto	04.627
Pokemon	GT3	V2=Alto	04.341
Pokemon	GT2T3	V2=Alto	05.395
