BaseDatos	TipoConsulta	VolumenDatos	T.Ejecucion
Pokemon	OT1	V1=Bajo	05.534
Pokemon	OT2	V1=Bajo	04.542
Pokemon	OT3	V1=Bajo	04.386
Pokemon	OT2T3	V1=Bajo	04.384
Pokemon	OT1	V1=Bajo	05.008
Pokemon	OT2	V1=Bajo	05.925
Pokemon	OT3	V1=Bajo	04.937
Pokemon	OT2T3	V1=Bajo	06.162
Pokemon	OT1	V2=Alto	04.722
Pokemon	OT2	V2=Alto	04.685
Pokemon	OT3	V2=Alto	06.433
Pokemon	OT2T3	V2=Alto	06.682
Pokemon	OT1	V2=Alto	04.509
Pokemon	OT2	V2=Alto	04.492
Pokemon	OT3	V2=Alto	06.778
Pokemon	OT2T3	V2=Alto	06.026
