BaseDatos	TipoConsulta	VolumenDatos	T.Ejecucion
World	OT1	V1=Bajo	017.667
World	OT2	V1=Bajo	132.099
World	OT3	V1=Bajo	012.528
World	OT2T3	V1=Bajo	141.652
World	OT1	V1=Bajo	018.372
World	OT2	V1=Bajo	130.820
World	OT3	V1=Bajo	012.408
World	OT2T3	V1=Bajo	143.157
World	OT1	V2=Alto	018.004
World	OT2	V2=Alto	131.933
World	OT3	V2=Alto	013.970
World	OT2T3	V2=Alto	141.559
World	OT1	V2=Alto	016.727
World	OT2	V2=Alto	130.504
World	OT3	V2=Alto	012.651
World	OT2T3	V2=Alto	143.943
