BaseDatos	TipoConsulta	VolumenDatos	T.Ejecucion
World	ST1	V1=Bajo	019.646
World	ST2	V1=Bajo	025.370
World	ST3	V1=Bajo	012.140
World	ST2T3	V1=Bajo	031.868
World	ST1	V1=Bajo	019.763
World	ST2	V1=Bajo	025.354
World	ST3	V1=Bajo	012.188
World	ST2T3	V1=Bajo	032.019
World	ST1	V2=Alto	019.844
World	ST2	V2=Alto	025.201
World	ST3	V2=Alto	012.227
World	ST2T3	V2=Alto	031.989
World	ST1	V2=Alto	020.926
World	ST2	V2=Alto	025.391
World	ST3	V2=Alto	012.221
World	ST2T3	V2=Alto	031.618
